id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,full_country_name
2600,ENTO,medium_airport,"Sandefjord Airport, Torp",59.1866989136,10.258600235,286.0,EU,NO,NO-38,Torp,yes,ENTO,TRF,,,https://en.wikipedia.org/wiki/Sandefjord_Airport%2C_Torp,,Norway
2601,ENVA,large_airport,"Trondheim Airport, Værnes",63.457802,10.924,56.0,EU,NO,NO-50,Trondheim,yes,ENVA,TRD,,https://avinor.no/en/airport/trondheim-airport/,https://en.wikipedia.org/wiki/Trondheim_Airport%2C_V%C3%A6rnes,,Norway
29284,ENVD,medium_airport,Vadsø Airport,70.065299987793,29.844699859619,127.0,EU,NO,NO-54,Vadsø,yes,ENVD,VDS,,https://avinor.no/en/airport/vadso-airport/,https://en.wikipedia.org/wiki/Vads%C3%B8_Airport,,Norway
336112,ENY,medium_airport,Yan'an Nanniwan Airport,36.479413,109.464083,,AS,CN,CN-61,Yan'an (Baota),yes,ZLYA,ENY,ENY,,https://en.wikipedia.org/wiki/Yan%27an_Nanniwan_Airport,,China
2602,ENZV,large_airport,"Stavanger Airport, Sola",58.876701,5.63778,29.0,EU,NO,NO-11,Stavanger,yes,ENZV,SVG,,http://www.avinor.no/en/airport/stavanger/,"https://en.wikipedia.org/wiki/Stavanger_Airport,_Sola","Sola Air Station, Stavanger lufthavn, Sola",Norway
2604,EPBY,medium_airport,Bydgoszcz Ignacy Jan Paderewski Airport,53.096802,17.977699,235.0,EU,PL,PL-KP,Bydgoszcz,yes,EPBY,BZG,,http://www.plb.pl/,https://en.wikipedia.org/wiki/Bydgoszcz_Ignacy_Jan_Paderewski_Airport,"Szwederowo, Bromberg",Poland
2605,EPCE,medium_airport,Cewice Air Base,54.416,17.7633,495.0,EU,PL,PL-PM,Lębork,no,EPCE,,,,,,Poland
2607,EPDE,medium_airport,Deblin Military Air Base,51.551399231,21.8936004639,392.0,EU,PL,PL-LU,Dęblin,no,EPDE,,,,,Wyższa Szkoła Oficerska Sił Powietrznych,Poland
2608,EPGD,large_airport,Gdańsk Lech Wałęsa Airport,54.377602,18.4662,489.0,EU,PL,PL-PM,Gdańsk,yes,EPGD,GDN,,http://www.airport.gdansk.pl/,https://en.wikipedia.org/wiki/Gda%C5%84sk_Lech_Wa%C5%82%C4%99sa_Airport,Gdańsk-Rębiechowo,Poland
29975,EPIR,medium_airport,Inowroclaw Military Air Base,52.8293991089,18.3306007385,259.0,EU,PL,PL-KP,,no,EPIR,,,,,,Poland
2609,EPKK,large_airport,Kraków John Paul II International Airport,50.077702,19.7848,791.0,EU,PL,PL-MA,Balice,yes,EPKK,KRK,,http://www.krakowairport.pl/en/,https://en.wikipedia.org/wiki/Kraków_John_Paul_II_International_Airport,Krakov,Poland
2612,EPKS,medium_airport,Krzesiny Military Air Base,52.3316993713,16.9664001465,265.0,EU,PL,PL-WP,,no,EPKS,,,,,,Poland
2613,EPKT,medium_airport,Katowice Wojciech Korfanty International Airport,50.476015,19.080705,995.0,EU,PL,PL-SL,Ożarowice,yes,EPKT,KTW,,http://katowice.airport.com,https://en.wikipedia.org/wiki/Katowice_International_Airport,"Pyrzowice, Dąbrowa Górnicza, Katowice, Silesia, GOP, Silesia Metropolis, Gliwice, Piekary Śląskie, Bytom, Zabrze, Sosnowiec",Poland
2615,EPLK,medium_airport,Lask Military Air Base,51.551701,19.1791,633.0,EU,PL,PL-LD,,no,EPLK,,,,,,Poland
2616,EPLL,medium_airport,Łódź Władysław Reymont Airport,51.7219009399,19.3980998993,604.0,EU,PL,PL-LD,Łódź,yes,EPLL,LCJ,,,https://en.wikipedia.org/wiki/%C5%81%C3%B3d%C5%BA_W%C5%82adys%C5%82aw_Reymont_Airport,Lublinek,Poland
31015,EPLY,medium_airport,Leczyca Military Air Base,52.0047,19.145599,377.0,EU,PL,PL-LD,Leczyca,no,EPLY,,,,,,Poland
